,mã sv,0.1,0.1.1,0.2,điểm thi,Unnamed: 7
0,b1,9,7,6.0,6.0,sáu điểm
1,b2,9,7,6.0,6.0,sáu điểm
2,b3,10,9,7.0,7.25,bảy hai lăm
3,b4,9,7,6.0,6.0,sáu điểm
4,b5,10,8,7.0,7.5,bảy rưỡi
5,b6,9,7,6.5,6.5,sáu rưỡi
7,b8,10,8,6.0,7.25,bảy hai lăm
8,b9,10,8,8.0,8.0,tám điểm
9,b10,10,8,7.5,8.75,tám bảy lăm
10,b11,9,7,6.0,5.5,năm rưỡi
11,b12,9,7,6.0,6.0,sáu điểm
12,b13,10,8,7.0,7.5,bảy rưỡi
14,b15,10,8,7.0,7.0,bảy điểm
15,b16,10,8,6.0,7.5,bảy rưỡi
16,b17,10,9,7.0,7.25,bảy hai lăm
17,b18,6,5,5.0,5.0,năm diểm
18,b19,9,7,6.0,6.0,sáu điểm
19,b20,10,9,7.0,6.5,sáu rưỡi
20,b21,9,7,6.0,6.0,sáu điểm
21,b22,9,7,6.0,3.5,ba rưỡi
22,b23,10,8,7.0,8.0,tám điểm
23,b24,9,6,6.0,6.5,sáu rưỡi
24,b25,10,7,6.0,6.0,sáu điểm
25,b26,10,7,6.0,7.0,bảy điểm
26,b27,10,6,6.0,6.0,sáu điểm
27,b28,10,7,6.0,7.0,bảy điểm
28,b29,10,8,6.5,7.5,bảy rưỡi
29,b30,9,8,6.0,5.5,năm rưỡi
30,b30,9,7,6.0,6.5,sáu rưỡi
31,b31,10,7,6.0,6.0,sáu điểm
32,b32,9,7,6.0,5.5,năm rưỡi
33,b34,9,7,6.0,4.5,bốn rưỡi
36,b37,10,9,7.0,7.5,bảy rưỡi
37,b38,10,8,7.0,7.0,bảy điểm
38,b39,10,8,7.5,7.25,bảy hai lăm
40,b41,9,7,6.0,6.5,sáu rưỡi
42,b43,10,8,7.0,7.25,bẩy hai lăm
43,b44,10,8,7.0,7.25,bảy hai lăm
44,b45,10,7,6.0,6.0,sáu điểm
45,b46,10,8,7.5,7.0,bảy điểm
47,b48,10,8,7.0,7.0,bảy điểm
48,b49,9,7,6.0,6.0,sáu điểm
49,b50,7,6,5.0,5.0,năm điểm
50,b51,9,7,6.0,6.0,sáu điểm
51,b52,9,7,6.0,5.5,năm rưỡi
52,b53,10,8,7.0,6.75,sáu bảy lăm
53,b54,10,8,6.0,7.0,bảy điểm
